Title,rating,nor,link
Royal Paan,3.8,940,https://www.google.com/maps/place/Royal+Paan/data=!4m6!3m5!1s0x882b1461502c3031:0x32e9a1d4d8f2b427!8m2!3d43.6837298!4d-79.8122922!16s%2Fg%2F11bbwnlgbt?authuser=0&hl=en&rclk=1
Indian Hero - RESTAURANT & BAR,4.3,932,https://www.google.com/maps/place/Indian+Hero+-+RESTAURANT+%26+BAR/data=!4m6!3m5!1s0x882b3caba85d5f7b:0xa7c865071205e4c!8m2!3d43.786351!4d-79.5567879!16s%2Fg%2F1q62d1z92?authuser=0&hl=en&rclk=1
Calypso Hut Family Restaurant,4.1,919,https://www.google.com/maps/place/Calypso+Hut+Family+Restaurant/data=!4m6!3m5!1s0x882b3dae8ff94009:0x676dda69e1a7eddf!8m2!3d43.7007412!4d-79.7416965!16s%2Fg%2F1hc7jv3b1?authuser=0&hl=en&rclk=1
Fresh Tandoori | Indian & Asian Cuisine,3.3,874,https://www.google.com/maps/place/Fresh+Tandoori+%7C+Indian+%26+Asian+Cuisine/data=!4m6!3m5!1s0x882b15ca07436f99:0x6286b0b702f8095b!8m2!3d43.696093!4d-79.7507871!16s%2Fg%2F11g0hvqghh?authuser=0&hl=en&rclk=1
Guddu's Chilli Chicken,3.8,867,https://www.google.com/maps/place/Guddu's+Chilli+Chicken/data=!4m6!3m5!1s0x882b1419abdaf355:0x7213e6f20ad3f361!8m2!3d43.71!4d-79.8111111!16s%2Fg%2F1td6sw1r?authuser=0&hl=en&rclk=1
Radica’s Hot & Spicy,4.1,861,https://www.google.com/maps/place/Radica%E2%80%99s+Hot+%26+Spicy/data=!4m6!3m5!1s0x882b3c24b4c2b6b7:0x3e93526f5b15a47c!8m2!3d43.700695!4d-79.7419281!16s%2Fg%2F1td9wrr6?authuser=0&hl=en&rclk=1
"🥇 Bahar Indian Cuisine in Brampton - Authentic Hyderabadi biryani, Chicken biryani, Lamb biryani, Tandoori",4.4,848,"https://www.google.com/maps/place/%F0%9F%A5%87+Bahar+Indian+Cuisine+in+Brampton+-+Authentic+Hyderabadi+biryani,+Chicken+biryani,+Lamb+biryani,+Tandoori/data=!4m6!3m5!1s0x882b6bc795b4379b:0xbad1b0c41cc4af7a!8m2!3d43.6302929!4d-79.7789556!16s%2Fg%2F11fsnlm1zm?authuser=0&hl=en&rclk=1"
"🥇 Bahar Indian Cuisine in Brampton - Authentic Hyderabadi biryani, Chicken biryani, Lamb biryani, Tandoori",4.4,848,"https://www.google.com/maps/place/%F0%9F%A5%87+Bahar+Indian+Cuisine+in+Brampton+-+Authentic+Hyderabadi+biryani,+Chicken+biryani,+Lamb+biryani,+Tandoori/data=!4m6!3m5!1s0x882b6bc795b4379b:0xbad1b0c41cc4af7a!8m2!3d43.6302929!4d-79.7789556!16s%2Fg%2F11fsnlm1zm?authuser=0&hl=en&rclk=1"
Incredible India,4.2,840,https://www.google.com/maps/place/Incredible+India/data=!4m6!3m5!1s0x882b17c973bc055f:0x72c6f5f072b21aff!8m2!3d43.7560671!4d-79.7591554!16s%2Fg%2F11c7053smm?authuser=0&hl=en&rclk=1
Milan Brampton - Ultimate Indian Street Food,4.6,822,https://www.google.com/maps/place/Milan+Brampton+-+Ultimate+Indian+Street+Food/data=!4m6!3m5!1s0x882b3d2fc05414df:0xffa0cadbd422f171!8m2!3d43.7136353!4d-79.7276425!16s%2Fg%2F11fn5v11d0?authuser=0&hl=en&rclk=1
